bottom_left,bottom_right,top_left,top_right,moisture,ph,nutrients,temperature,humidity
"(6,3)","(6,4)","(7,3)","(7,4)",30.91,7.36,79,28.8,22
"(7,2)","(7,3)","(8,2)","(8,3)",24.04,8.11,39,23.9,41
"(7,3)","(7,4)","(8,3)","(8,4)",35.28,4.89,88,16.1,79
"(4,4)","(4,5)","(5,4)","(5,5)",34.99,6.64,42,8.9,40
"(4,5)","(4,6)","(5,5)","(5,6)",7.38,4.68,88,28.9,81
"(5,4)","(5,5)","(6,4)","(6,5)",29.25,6.61,36,12.2,38
"(5,5)","(5,6)","(6,5)","(6,6)",39.3,6.05,6,5.7,27
"(4,6)","(4,7)","(5,6)","(5,7)",26.57,4.76,71,12.2,29
"(4,7)","(4,8)","(5,7)","(5,8)",29.08,6.72,47,26.9,86
"(5,6)","(5,7)","(6,6)","(6,7)",29.98,6.62,6,21.2,46
"(5,7)","(5,8)","(6,7)","(6,8)",21.18,6.24,29,20.3,92
"(6,4)","(6,5)","(7,4)","(7,5)",22.71,8.08,100,31.1,41
"(6,5)","(6,6)","(7,5)","(7,6)",39.06,7.22,43,8.8,49
"(7,4)","(7,5)","(8,4)","(8,5)",13.17,7.22,10,27.0,74
"(7,5)","(7,6)","(8,5)","(8,6)",11.95,8.43,68,33.0,68
"(6,6)","(6,7)","(7,6)","(7,7)",35.11,8.18,15,13.4,93
"(6,7)","(6,8)","(7,7)","(7,8)",6.31,4.66,75,33.2,32
"(7,6)","(7,7)","(8,6)","(8,7)",35.77,7.16,76,16.3,33
"(7,7)","(7,8)","(8,7)","(8,8)",18.84,7.72,17,28.0,62
"(0,8)","(0,9)","(1,8)","(1,9)",39.68,7.54,74,27.3,58
"(0,9)","(0,10)","(1,9)","(1,10)",19.31,6.71,21,26.0,38
"(1,8)","(1,9)","(2,8)","(2,9)",13.02,5.3,81,31.5,22
"(1,9)","(1,10)","(2,9)","(2,10)",5.75,7.04,4,16.7,41
"(0,10)","(0,11)","(1,10)","(1,11)",22.98,6.43,25,32.7,32
"(0,11)","(0,12)","(1,11)","(1,12)",23.5,8.35,86,19.8,53
"(1,10)","(1,11)","(2,10)","(2,11)",29.86,7.81,1,30.2,39
"(1,11)","(1,12)","(2,11)","(2,12)",6.17,5.37,37,16.7,66
"(2,8)","(2,9)","(3,8)","(3,9)",34.52,8.13,100,18.9,56
"(2,9)","(2,10)","(3,9)","(3,10)",29.29,8.44,77,8.8,43
"(3,8)","(3,9)","(4,8)","(4,9)",19.09,7.53,21,30.0,27
"(3,9)","(3,10)","(4,9)","(4,10)",12.92,5.43,78,32.3,70
"(2,10)","(2,11)","(3,10)","(3,11)",21.34,6.17,96,7.6,54
"(2,11)","(2,12)","(3,11)","(3,12)",32.01,4.63,100,26.4,95
"(3,10)","(3,11)","(4,10)","(4,11)",27.04,6.53,60,20.6,57
"(3,11)","(3,12)","(4,11)","(4,12)",6.13,5.12,40,19.8,76
"(0,12)","(0,13)","(1,12)","(1,13)",13.59,5.84,14,18.9,65
"(0,13)","(0,14)","(1,13)","(1,14)",19.79,5.68,5,23.2,57
"(1,12)","(1,13)","(2,12)","(2,13)",6.14,7.37,44,32.8,42
"(1,13)","(1,14)","(2,13)","(2,14)",37.27,7.37,16,30.6,82
"(0,14)","(0,15)","(1,14)","(1,15)",10.57,5.55,97,19.7,22
"(0,15)","(0,16)","(1,15)","(1,16)",33.29,8.12,70,33.9,98
"(1,14)","(1,15)","(2,14)","(2,15)",29.63,5.73,54,22.5,42
"(1,15)","(1,16)","(2,15)","(2,16)",16.14,6.72,42,23.2,56
"(2,12)","(2,13)","(3,12)","(3,13)",24.75,7.11,21,14.5,91
"(2,13)","(2,14)","(3,13)","(3,14)",19.42,5.59,59,31.1,77
"(3,12)","(3,13)","(4,12)","(4,13)",6.15,4.87,30,18.4,100
"(3,13)","(3,14)","(4,13)","(4,14)",30.35,7.03,80,20.7,21
"(2,14)","(2,15)","(3,14)","(3,15)",12.55,7.97,39,32.3,100
"(2,15)","(2,16)","(3,15)","(3,16)",30.86,6.07,72,17.8,24
"(3,14)","(3,15)","(4,14)","(4,15)",10.71,5.13,33,20.2,93
"(3,15)","(3,16)","(4,15)","(4,16)",9.01,7.99,31,31.4,75
"(4,8)","(4,9)","(5,8)","(5,9)",12.03,6.93,61,26.9,51
"(4,9)","(4,10)","(5,9)","(5,10)",17.74,4.61,56,11.5,74
"(5,8)","(5,9)","(6,8)","(6,9)",31.98,6.86,92,24.2,47
"(5,9)","(5,10)","(6,9)","(6,10)",9.49,7.75,28,34.1,62
"(4,10)","(4,11)","(5,10)","(5,11)",17.18,8.36,76,27.9,80
"(4,11)","(4,12)","(5,11)","(5,12)",13.33,7.98,75,30.4,69
"(5,10)","(5,11)","(6,10)","(6,11)",31.45,4.76,47,17.9,75
"(5,11)","(5,12)","(6,11)","(6,12)",32.14,7.2,90,17.3,39
"(6,8)","(6,9)","(7,8)","(7,9)",37.32,4.56,86,27.2,67
"(6,9)","(6,10)","(7,9)","(7,10)",13.93,4.69,37,5.8,67
"(7,8)","(7,9)","(8,8)","(8,9)",13.0,4.82,71,29.9,80
"(7,9)","(7,10)","(8,9)","(8,10)",32.94,6.22,53,14.2,93
"(6,10)","(6,11)","(7,10)","(7,11)",26.0,6.13,29,25.4,41
"(6,11)","(6,12)","(7,11)","(7,12)",7.96,6.7,54,33.6,23
"(7,10)","(7,11)","(8,10)","(8,11)",38.02,5.28,92,29.7,73
"(7,11)","(7,12)","(8,11)","(8,12)",31.2,5.25,44,13.5,60
"(4,12)","(4,13)","(5,12)","(5,13)",9.54,7.53,18,8.8,38
"(4,13)","(4,14)","(5,13)","(5,14)",32.24,6.16,33,12.0,84
"(5,12)","(5,13)","(6,12)","(6,13)",29.41,7.53,47,15.0,83
"(5,13)","(5,14)","(6,13)","(6,14)",6.15,7.67,25,32.3,72
"(4,14)","(4,15)","(5,14)","(5,15)",14.15,7.34,47,28.5,36
"(4,15)","(4,16)","(5,15)","(5,16)",22.45,8.24,24,29.7,37
"(5,14)","(5,15)","(6,14)","(6,15)",36.53,5.64,14,7.1,59
"(5,15)","(5,16)","(6,15)","(6,16)",14.46,6.08,17,17.5,51
"(6,12)","(6,13)","(7,12)","(7,13)",15.16,7.33,78,9.1,82
"(6,13)","(6,14)","(7,13)","(7,14)",25.6,8.31,97,34.0,58
"(7,12)","(7,13)","(8,12)","(8,13)",24.09,5.29,84,14.1,74
"(7,13)","(7,14)","(8,13)","(8,14)",31.73,6.74,41,31.6,48
"(6,14)","(6,15)","(7,14)","(7,15)",8.72,6.52,86,19.6,23
"(6,15)","(6,16)","(7,15)","(7,16)",37.23,4.54,97,12.4,88
"(7,14)","(7,15)","(8,14)","(8,15)",22.41,8.22,79,18.0,89
"(7,15)","(7,16)","(8,15)","(8,16)",36.92,4.92,96,26.0,41
"(8,0)","(8,1)","(9,0)","(9,1)",6.57,6.87,50,30.3,72
"(8,1)","(8,2)","(9,1)","(9,2)",29.83,4.61,85,30.8,52
"(9,0)","(9,1)","(10,0)","(10,1)",14.02,6.47,62,11.3,80
"(9,1)","(9,2)","(10,1)","(10,2)",30.52,7.34,5,24.3,20
"(8,2)","(8,3)","(9,2)","(9,3)",6.87,4.59,56,31.6,48
"(8,3)","(8,4)","(9,3)","(9,4)",33.43,6.02,67,9.8,42
"(9,2)","(9,3)","(10,2)","(10,3)",33.21,7.23,89,14.7,30
"(9,3)","(9,4)","(10,3)","(10,4)",17.4,4.56,93,20.4,98
"(10,0)","(10,1)","(11,0)","(11,1)",33.77,7.72,18,29.9,45
"(10,1)","(10,2)","(11,1)","(11,2)",21.57,5.77,78,24.0,29
"(11,0)","(11,1)","(12,0)","(12,1)",28.02,5.24,52,31.9,59
"(11,1)","(11,2)","(12,1)","(12,2)",12.88,6.06,59,12.9,63
"(10,2)","(10,3)","(11,2)","(11,3)",10.71,5.25,3,15.3,96
"(10,3)","(10,4)","(11,3)","(11,4)",10.32,5.94,83,14.5,40
"(11,2)","(11,3)","(12,2)","(12,3)",39.73,4.63,17,31.6,97
"(11,3)","(11,4)","(12,3)","(12,4)",26.27,6.96,29,17.4,94
"(8,4)","(8,5)","(9,4)","(9,5)",5.3,6.58,47,17.4,38
"(8,5)","(8,6)","(9,5)","(9,6)",30.22,4.79,15,20.1,24
"(9,4)","(9,5)","(10,4)","(10,5)",30.7,7.78,73,18.0,79
"(9,5)","(9,6)","(10,5)","(10,6)",11.87,4.71,83,23.4,86
"(8,6)","(8,7)","(9,6)","(9,7)",21.76,7.59,56,10.0,35
"(8,7)","(8,8)","(9,7)","(9,8)",6.45,6.38,95,27.1,55
"(9,6)","(9,7)","(10,6)","(10,7)",12.55,6.7,72,6.0,38
"(9,7)","(9,8)","(10,7)","(10,8)",34.82,5.07,75,12.7,47
"(10,4)","(10,5)","(11,4)","(11,5)",21.33,7.04,20,30.2,39
"(10,5)","(10,6)","(11,5)","(11,6)",9.79,5.7,13,30.4,37
"(11,4)","(11,5)","(12,4)","(12,5)",26.23,8.3,62,13.3,88
"(11,5)","(11,6)","(12,5)","(12,6)",5.59,8.18,85,26.3,40
"(10,6)","(10,7)","(11,6)","(11,7)",32.33,5.04,11,26.0,57
"(10,7)","(10,8)","(11,7)","(11,8)",24.1,6.63,11,14.0,66
"(11,6)","(11,7)","(12,6)","(12,7)",37.7,6.93,92,30.8,67
"(11,7)","(11,8)","(12,7)","(12,8)",36.73,7.34,24,7.4,83
"(12,0)","(12,1)","(13,0)","(13,1)",11.26,7.5,63,10.3,33
"(12,1)","(12,2)","(13,1)","(13,2)",22.34,4.65,43,34.6,35
"(13,0)","(13,1)","(14,0)","(14,1)",11.26,5.8,11,17.5,60
"(13,1)","(13,2)","(14,1)","(14,2)",21.32,7.85,16,5.3,81
"(12,2)","(12,3)","(13,2)","(13,3)",25.67,4.76,67,27.6,60
"(12,3)","(12,4)","(13,3)","(13,4)",9.5,5.03,36,18.3,57
"(13,2)","(13,3)","(14,2)","(14,3)",14.75,8.2,43,14.5,69
"(13,3)","(13,4)","(14,3)","(14,4)",19.19,6.48,6,28.9,72
"(14,0)","(14,1)","(15,0)","(15,1)",15.51,5.15,51,10.0,97
"(14,1)","(14,2)","(15,1)","(15,2)",28.13,5.32,54,31.4,33
"(15,0)","(15,1)","(16,0)","(16,1)",33.61,7.85,28,11.5,38
"(15,1)","(15,2)","(16,1)","(16,2)",10.06,5.41,40,24.2,59
"(14,2)","(14,3)","(15,2)","(15,3)",34.57,6.21,44,20.6,64
"(14,3)","(14,4)","(15,3)","(15,4)",39.66,4.83,2,19.0,76
"(15,2)","(15,3)","(16,2)","(16,3)",33.79,7.62,29,11.6,28
"(15,3)","(15,4)","(16,3)","(16,4)",7.71,7.35,37,17.0,39
"(12,4)","(12,5)","(13,4)","(13,5)",5.23,6.46,49,17.3,86
"(12,5)","(12,6)","(13,5)","(13,6)",35.78,4.58,8,32.5,56
"(13,4)","(13,5)","(14,4)","(14,5)",13.19,7.84,28,17.3,82
"(13,5)","(13,6)","(14,5)","(14,6)",29.97,6.47,61,29.7,28
"(12,6)","(12,7)","(13,6)","(13,7)",38.59,5.38,99,26.5,49
"(12,7)","(12,8)","(13,7)","(13,8)",9.66,6.66,23,16.7,29
"(13,6)","(13,7)","(14,6)","(14,7)",16.26,4.95,98,20.9,80
"(13,7)","(13,8)","(14,7)","(14,8)",29.23,8.05,78,20.9,52
"(14,4)","(14,5)","(15,4)","(15,5)",39.92,8.08,65,22.8,83
"(14,5)","(14,6)","(15,5)","(15,6)",21.88,7.28,32,33.6,75
"(15,4)","(15,5)","(16,4)","(16,5)",28.08,7.52,10,6.0,60
"(15,5)","(15,6)","(16,5)","(16,6)",22.38,6.6,1,14.8,64
"(14,6)","(14,7)","(15,6)","(15,7)",32.17,5.91,89,21.9,94
"(14,7)","(14,8)","(15,7)","(15,8)",20.72,5.27,6,20.9,90
"(15,6)","(15,7)","(16,6)","(16,7)",20.03,4.87,89,27.4,68
"(15,7)","(15,8)","(16,7)","(16,8)",7.1,4.85,49,20.3,89
"(8,8)","(8,9)","(9,8)","(9,9)",33.0,6.57,22,22.5,81
"(8,9)","(8,10)","(9,9)","(9,10)",36.44,7.72,78,17.6,80
"(9,8)","(9,9)","(10,8)","(10,9)",10.2,5.08,21,31.6,46
"(9,9)","(9,10)","(10,9)","(10,10)",11.95,7.14,57,17.0,73
"(8,10)","(8,11)","(9,10)","(9,11)",29.46,5.6,32,11.9,97
"(8,11)","(8,12)","(9,11)","(9,12)",14.82,6.3,48,31.2,50
"(9,10)","(9,11)","(10,10)","(10,11)",31.7,8.18,11,10.3,83
"(9,11)","(9,12)","(10,11)","(10,12)",21.32,6.42,6,14.4,21
"(10,8)","(10,9)","(11,8)","(11,9)",18.49,5.62,87,16.6,45
"(10,9)","(10,10)","(11,9)","(11,10)",30.25,5.52,5,23.7,76
"(11,8)","(11,9)","(12,8)","(12,9)",21.62,8.03,60,25.9,73
"(11,9)","(11,10)","(12,9)","(12,10)",29.81,4.67,3,10.7,74
"(10,10)","(10,11)","(11,10)","(11,11)",36.39,5.13,47,12.9,91
"(10,11)","(10,12)","(11,11)","(11,12)",16.2,4.52,6,16.5,90
"(11,10)","(11,11)","(12,10)","(12,11)",15.24,6.97,38,8.8,36
"(11,11)","(11,12)","(12,11)","(12,12)",36.35,5.39,44,28.1,22
"(8,12)","(8,13)","(9,12)","(9,13)",19.91,6.59,49,17.4,31
"(8,13)","(8,14)","(9,13)","(9,14)",13.0,5.32,78,16.9,48
"(9,12)","(9,13)","(10,12)","(10,13)",36.86,8.06,38,30.4,89
"(9,13)","(9,14)","(10,13)","(10,14)",7.48,6.36,96,13.2,71
"(8,14)","(8,15)","(9,14)","(9,15)",7.14,5.27,74,12.6,43
"(8,15)","(8,16)","(9,15)","(9,16)",6.36,7.44,80,14.9,75
"(9,14)","(9,15)","(10,14)","(10,15)",23.35,6.81,32,32.5,75
"(9,15)","(9,16)","(10,15)","(10,16)",29.51,6.98,35,26.5,81
"(10,12)","(10,13)","(11,12)","(11,13)",26.76,6.09,76,30.1,79
"(10,13)","(10,14)","(11,13)","(11,14)",36.34,4.84,100,18.1,91
"(11,12)","(11,13)","(12,12)","(12,13)",22.17,7.02,98,9.5,22
"(11,13)","(11,14)","(12,13)","(12,14)",25.13,5.32,16,22.4,38
"(10,14)","(10,15)","(11,14)","(11,15)",27.64,6.57,58,23.8,45
"(10,15)","(10,16)","(11,15)","(11,16)",12.01,7.75,95,6.9,97
"(11,14)","(11,15)","(12,14)","(12,15)",32.18,5.01,51,30.1,91
"(11,15)","(11,16)","(12,15)","(12,16)",26.16,7.55,76,33.6,30
"(12,8)","(12,9)","(13,8)","(13,9)",11.02,4.65,58,26.5,54
"(12,9)","(12,10)","(13,9)","(13,10)",12.59,5.4,38,11.1,72
"(13,8)","(13,9)","(14,8)","(14,9)",14.12,6.43,56,17.1,49
"(13,9)","(13,10)","(14,9)","(14,10)",26.48,6.22,83,11.1,71
"(12,10)","(12,11)","(13,10)","(13,11)",5.2,4.8,12,34.0,97
"(12,11)","(12,12)","(13,11)","(13,12)",34.55,8.49,94,32.1,34
"(13,10)","(13,11)","(14,10)","(14,11)",32.79,7.01,2,10.3,92
"(13,11)","(13,12)","(14,11)","(14,12)",7.13,6.72,11,29.8,35
"(14,8)","(14,9)","(15,8)","(15,9)",22.95,5.99,0,12.7,25
"(14,9)","(14,10)","(15,9)","(15,10)",22.43,7.64,65,21.0,81
"(15,8)","(15,9)","(16,8)","(16,9)",9.38,7.79,14,22.7,63
"(15,9)","(15,10)","(16,9)","(16,10)",9.66,5.5,94,32.3,95
"(14,10)","(14,11)","(15,10)","(15,11)",24.55,8.2,31,33.9,31
"(14,11)","(14,12)","(15,11)","(15,12)",30.78,4.91,50,24.6,57
"(15,10)","(15,11)","(16,10)","(16,11)",39.31,6.67,46,23.9,22
"(15,11)","(15,12)","(16,11)","(16,12)",26.97,5.06,1,34.6,71
"(12,12)","(12,13)","(13,12)","(13,13)",27.22,5.0,25,6.8,85
"(12,13)","(12,14)","(13,13)","(13,14)",26.09,8.38,99,17.8,63
"(13,12)","(13,13)","(14,12)","(14,13)",31.2,6.52,1,8.7,55
"(13,13)","(13,14)","(14,13)","(14,14)",13.1,5.73,11,34.2,84
"(12,14)","(12,15)","(13,14)","(13,15)",20.9,7.35,29,14.1,80
"(12,15)","(12,16)","(13,15)","(13,16)",5.53,5.56,54,24.5,62
"(13,14)","(13,15)","(14,14)","(14,15)",23.3,7.1,86,14.8,34
"(13,15)","(13,16)","(14,15)","(14,16)",8.45,6.34,35,13.4,37
"(14,12)","(14,13)","(15,12)","(15,13)",28.86,4.52,64,15.1,95
"(14,13)","(14,14)","(15,13)","(15,14)",10.88,7.49,20,16.1,46
"(15,12)","(15,13)","(16,12)","(16,13)",13.09,6.87,33,31.5,41
"(15,13)","(15,14)","(16,13)","(16,14)",22.61,6.41,76,10.7,83
"(14,14)","(14,15)","(15,14)","(15,15)",37.39,5.89,82,9.9,23
"(14,15)","(14,16)","(15,15)","(15,16)",10.26,5.32,15,14.9,85
"(15,14)","(15,15)","(16,14)","(16,15)",6.64,4.74,63,31.3,95
"(15,15)","(15,16)","(16,15)","(16,16)",33.5,5.8,44,27.7,80
